PRSUC,PRCOD,PRFEC,PRPROV,PRCANT,PRPRE
SUC01,P100,2025-01-01,PROV02,116,246.97
SUC01,P100,2025-01-05,PROV13,103,255.53
SUC01,P100,2025-01-09,PROV04,112,254.78
SUC01,P100,2025-01-09,PROV04,63,262.24
SUC01,P100,2025-01-15,PROV03,101,254.72
SUC01,P100,2025-01-31,PROV11,66,257.19
SUC01,P100,2025-02-10,PROV14,117,256.41
SUC01,P100,2025-02-13,PROV10,70,241.87
SUC01,P100,2025-02-27,PROV10,23,257.3
SUC01,P100,2025-03-11,PROV08,123,254.19
SUC01,P100,2025-03-15,PROV06,123,249.94
SUC01,P100,2025-04-01,PROV03,103,262.98
SUC01,P100,2025-04-09,PROV01,61,260.66
SUC01,P100,2025-04-26,PROV15,108,249.74
SUC01,P100,2025-04-28,PROV07,103,259.98
SUC01,P100,2025-05-20,PROV15,99,250.3
SUC01,P100,2025-06-14,PROV05,82,249.24
SUC01,P100,2025-06-15,PROV05,94,249.08
SUC01,P100,2025-06-22,PROV09,82,278.38
SUC01,P100,2025-06-22,PROV09,41,274.23
SUC01,P100,2025-07-01,PROV12,36,259.64
SUC01,P100,2025-07-19,PROV06,42,262.86
SUC01,P100,2025-08-03,PROV02,130,274.37
SUC01,P100,2025-08-03,PROV06,100,256.96
SUC01,P100,2025-08-19,PROV14,134,280.45
SUC01,P100,2025-08-22,PROV07,109,272.91
SUC01,P100,2025-08-25,PROV01,24,258.6
SUC01,P100,2025-09-07,PROV11,62,261.2
SUC01,P100,2025-09-10,PROV12,82,275.03
SUC01,P100,2025-09-14,PROV02,104,274.2
SUC01,P100,2025-09-14,PROV02,53,270.61
SUC01,P100,2025-09-22,PROV09,107,272.58
SUC01,P100,2025-09-23,PROV07,103,267.38
SUC01,P100,2025-10-01,PROV03,141,283.41
SUC01,P100,2025-10-01,PROV08,48,256.04
SUC01,P100,2025-10-07,PROV12,119,271.08
SUC01,P100,2025-10-11,PROV09,43,288.06
SUC01,P100,2025-10-13,PROV05,13,256.94
SUC01,P100,2025-10-15,PROV06,86,266.11
SUC01,P100,2025-10-29,PROV07,88,265.48
SUC01,P100,2025-11-18,PROV06,24,277.07
SUC01,P100,2025-11-19,PROV12,57,275.49
SUC01,P100,2025-11-24,PROV11,47,276.87
SUC01,P100,2025-11-27,PROV03,132,284.24
SUC01,P100,2025-12-02,PROV13,67,285.68
SUC01,P100,2025-12-08,PROV10,96,268.9
SUC01,P100,2025-12-17,PROV05,88,270.73
SUC01,P100,2025-12-31,PROV11,90,269.51
SUC01,P101,2025-01-08,PROV06,133,354.04
SUC01,P101,2025-01-23,PROV10,24,350.97
SUC01,P101,2025-01-25,PROV03,41,356.74
SUC01,P101,2025-02-05,PROV15,67,345.94
SUC01,P101,2025-02-25,PROV08,109,376.28
SUC01,P101,2025-03-14,PROV06,79,370.92
SUC01,P101,2025-03-26,PROV04,29,373.72
SUC01,P101,2025-03-26,PROV13,134,383.01
SUC01,P101,2025-03-31,PROV14,107,376.15
SUC01,P101,2025-04-03,PROV07,31,378.54
SUC01,P101,2025-04-10,PROV05,97,367.7
SUC01,P101,2025-04-24,PROV10,28,359.02
SUC01,P101,2025-04-25,PROV14,99,391.81
SUC01,P101,2025-05-16,PROV09,114,381.06
SUC01,P101,2025-05-17,PROV14,89,386.62
SUC01,P101,2025-05-22,PROV02,14,280.45
SUC01,P101,2025-05-26,PROV03,86,376.32
SUC01,P101,2025-06-08,PROV06,13,273.82
SUC01,P101,2025-06-11,PROV06,55,377.34
SUC01,P101,2025-06-25,PROV13,136,375.56
SUC01,P101,2025-06-26,PROV04,127,387.24
SUC01,P101,2025-07-12,PROV09,62,399.12
SUC01,P101,2025-07-14,PROV01,112,371.78
SUC01,P101,2025-07-18,PROV04,11,272.85
SUC01,P101,2025-08-24,PROV06,123,385.31
SUC01,P101,2025-08-28,PROV04,66,395.15
SUC01,P101,2025-10-01,PROV01,94,394.65
SUC01,P101,2025-10-22,PROV15,64,373.68
SUC01,P101,2025-10-23,PROV14,96,396.87
SUC01,P101,2025-10-27,PROV02,127,378.59
SUC01,P101,2025-11-04,PROV10,97,376.71
SUC01,P101,2025-11-04,PROV13,66,402.84
SUC01,P101,2025-11-09,PROV11,23,395.4
SUC01,P101,2025-12-05,PROV08,133,392.13
SUC01,P101,2025-12-19,PROV15,33,391.76
SUC01,P101,2025-12-28,PROV06,60,392.57
SUC01,P102,2025-01-14,PROV01,84,489.24
SUC01,P102,2025-01-14,PROV12,77,500.52
SUC01,P102,2025-01-20,PROV04,54,493.87
SUC01,P102,2025-02-12,PROV13,123,494.73
SUC01,P102,2025-02-14,PROV06,28,476.95
SUC01,P102,2025-02-18,PROV10,123,476.23
SUC01,P102,2025-03-06,PROV02,91,513.08
SUC01,P102,2025-04-06,PROV05,40,482.86
SUC01,P102,2025-04-07,PROV07,34,519.02
SUC01,P102,2025-04-10,PROV09,33,523.73
SUC01,P102,2025-04-10,PROV15,55,503.25
SUC01,P102,2025-04-23,PROV08,88,525.37
SUC01,P102,2025-05-07,PROV12,88,514.55
SUC01,P102,2025-06-18,PROV03,1,279.66
SUC01,P102,2025-06-27,PROV09,3,279.13
SUC01,P102,2025-06-30,PROV09,115,512.67
SUC01,P102,2025-07-16,PROV03,86,512.67
SUC01,P102,2025-07-19,PROV15,30,489.32
SUC01,P102,2025-07-20,PROV07,90,504.62
SUC01,P102,2025-07-29,PROV15,1,288.6
SUC01,P102,2025-08-15,PROV10,104,506.9
SUC01,P102,2025-08-27,PROV04,86,527.46
SUC01,P102,2025-09-01,PROV03,23,521.97
SUC01,P102,2025-09-01,PROV12,132,537.88
SUC01,P102,2025-09-12,PROV14,29,533.71
SUC01,P102,2025-09-22,PROV06,45,516.8
SUC01,P102,2025-09-24,PROV06,66,512.75
SUC01,P102,2025-10-08,PROV01,29,534.32
SUC01,P102,2025-10-19,PROV07,137,533.87
SUC01,P102,2025-11-26,PROV14,71,539.59
SUC01,P102,2025-12-06,PROV15,88,517.65
SUC01,P102,2025-12-07,PROV11,9,285.86
SUC01,P103,2025-01-03,PROV02,40,578.79
SUC01,P103,2025-01-16,PROV13,117,589.33
SUC01,P103,2025-01-31,PROV01,45,552.96
SUC01,P103,2025-02-03,PROV02,60,572.1
SUC01,P103,2025-02-07,PROV06,31,584.97
SUC01,P103,2025-03-03,PROV11,103,562.4
SUC01,P103,2025-03-06,PROV09,23,612.07
SUC01,P103,2025-03-08,PROV13,35,581.44
SUC01,P103,2025-03-09,PROV07,23,581.29
SUC01,P103,2025-03-15,PROV02,125,567.06
SUC01,P103,2025-03-25,PROV07,27,575.85
SUC01,P103,2025-04-09,PROV06,50,566.31
SUC01,P103,2025-04-28,PROV14,31,590.62
SUC01,P103,2025-04-28,PROV14,2,267.16
SUC01,P103,2025-05-01,PROV13,88,597.0
SUC01,P103,2025-05-03,PROV15,23,586.65
SUC01,P103,2025-05-21,PROV09,7,271.62
SUC01,P103,2025-05-31,PROV02,80,601.66
SUC01,P103,2025-06-17,PROV11,83,584.18
SUC01,P103,2025-06-18,PROV05,119,593.43
SUC01,P103,2025-06-18,PROV13,14,273.62
SUC01,P103,2025-06-24,PROV15,10,274.15
SUC01,P103,2025-06-29,PROV06,127,601.73
SUC01,P103,2025-06-29,PROV09,137,598.19
SUC01,P103,2025-07-03,PROV07,140,602.72
SUC01,P103,2025-07-03,PROV08,54,624.11
SUC01,P103,2025-07-03,PROV11,50,605.78
SUC01,P103,2025-07-04,PROV03,61,609.18
SUC01,P103,2025-07-13,PROV02,6,268.87
SUC01,P103,2025-08-02,PROV15,28,593.59
SUC01,P103,2025-08-14,PROV14,81,638.38
SUC01,P103,2025-10-06,PROV05,86,616.38
SUC01,P103,2025-10-12,PROV06,79,613.11
SUC01,P103,2025-10-24,PROV15,4,266.53
SUC01,P103,2025-10-31,PROV01,14,267.67
SUC01,P103,2025-11-02,PROV12,103,611.31
SUC01,P103,2025-11-06,PROV02,63,608.42
SUC01,P103,2025-11-06,PROV15,139,608.99
SUC01,P103,2025-11-07,PROV09,5,271.63
SUC01,P103,2025-11-09,PROV06,89,626.48
SUC01,P103,2025-11-14,PROV05,101,614.48
SUC01,P103,2025-11-22,PROV11,34,601.88
SUC01,P103,2025-12-01,PROV12,10,273.04
SUC01,P103,2025-12-01,PROV15,106,626.17
SUC01,P103,2025-12-03,PROV05,89,625.21
SUC01,P103,2025-12-23,PROV02,43,633.69
SUC01,P104,2025-01-22,PROV09,69,772.67
SUC01,P104,2025-01-23,PROV04,45,770.62
SUC01,P104,2025-01-26,PROV14,84,777.07
SUC01,P104,2025-02-08,PROV14,55,750.86
SUC01,P104,2025-03-20,PROV03,123,744.1
SUC01,P104,2025-04-04,PROV11,122,744.07
SUC01,P104,2025-04-05,PROV09,102,798.75
SUC01,P104,2025-04-08,PROV07,108,769.7
SUC01,P104,2025-04-17,PROV11,28,732.91
SUC01,P104,2025-04-24,PROV15,33,734.7
SUC01,P104,2025-05-07,PROV03,11,263.82
SUC01,P104,2025-06-06,PROV02,27,754.59
SUC01,P104,2025-06-07,PROV05,53,745.66
SUC01,P104,2025-06-08,PROV05,113,751.07
SUC01,P104,2025-06-11,PROV11,15,265.34
SUC01,P104,2025-08-04,PROV03,140,814.56
SUC01,P104,2025-08-08,PROV11,126,754.32
SUC01,P104,2025-08-11,PROV12,103,805.11
SUC01,P104,2025-08-27,PROV06,120,783.82
SUC01,P104,2025-08-30,PROV10,81,753.33
SUC01,P104,2025-09-12,PROV01,87,758.48
SUC01,P104,2025-10-03,PROV13,108,832.91
SUC01,P104,2025-10-09,PROV02,23,815.47
SUC01,P104,2025-10-10,PROV08,27,802.53
SUC01,P104,2025-10-19,PROV07,63,800.08
SUC01,P104,2025-10-26,PROV05,77,773.37
SUC01,P104,2025-11-02,PROV11,113,772.01
SUC01,P104,2025-11-06,PROV12,44,803.94
SUC01,P104,2025-11-09,PROV10,10,266.62
SUC01,P104,2025-11-19,PROV06,13,265.57
SUC01,P104,2025-11-23,PROV11,104,801.11
SUC01,P104,2025-11-26,PROV03,141,825.1
SUC01,P104,2025-11-26,PROV09,37,850.8
SUC01,P104,2025-11-30,PROV13,74,800.29
SUC01,P104,2025-12-02,PROV04,117,848.36
SUC01,P104,2025-12-03,PROV13,11,269.95
SUC01,P104,2025-12-05,PROV06,25,804.94
SUC01,P104,2025-12-20,PROV15,14,269.69
SUC01,P104,2025-12-28,PROV05,66,780.69
SUC01,P105,2025-01-06,PROV14,117,255.15
SUC01,P105,2025-01-08,PROV02,28,790.54
SUC01,P105,2025-01-25,PROV11,87,785.65
SUC01,P105,2025-01-28,PROV12,101,790.42
SUC01,P105,2025-02-23,PROV11,116,755.36
SUC01,P105,2025-03-15,PROV06,29,764.76
SUC01,P105,2025-03-21,PROV05,75,792.23
SUC01,P105,2025-04-01,PROV04,38,835.35
SUC01,P105,2025-04-02,PROV13,107,830.59
SUC01,P105,2025-04-30,PROV02,55,250.89
SUC01,P105,2025-06-30,PROV06,71,814.23
SUC01,P105,2025-07-10,PROV13,86,840.0
SUC01,P105,2025-07-11,PROV01,110,787.73
SUC01,P105,2025-07-12,PROV01,112,254.16
SUC01,P105,2025-08-07,PROV12,94,820.92
SUC01,P105,2025-09-06,PROV09,123,832.08
SUC01,P105,2025-09-16,PROV11,89,806.53
SUC01,P105,2025-09-18,PROV11,50,833.46
SUC01,P105,2025-09-26,PROV08,73,835.69
SUC01,P105,2025-09-27,PROV13,57,864.3
SUC01,P105,2025-10-15,PROV08,133,865.38
SUC01,P105,2025-10-21,PROV07,43,839.39
SUC01,P105,2025-10-29,PROV12,74,847.4
SUC01,P105,2025-11-06,PROV11,86,847.15
SUC01,P105,2025-11-29,PROV03,126,867.83
SUC01,P105,2025-11-29,PROV05,74,828.87
SUC01,P105,2025-12-23,PROV02,71,849.18
SUC01,P105,2025-12-25,PROV09,127,886.77
SUC01,P105,2025-12-31,PROV02,137,874.39
SUC01,P106,2025-01-08,PROV06,121,933.96
SUC01,P106,2025-01-18,PROV10,94,914.86
SUC01,P106,2025-01-25,PROV02,107,903.78
SUC01,P106,2025-01-27,PROV02,68,949.16
SUC01,P106,2025-02-12,PROV14,33,955.57
SUC01,P106,2025-03-03,PROV01,89,919.69
SUC01,P106,2025-04-03,PROV15,41,263.63
SUC01,P106,2025-04-05,PROV03,121,958.75
SUC01,P106,2025-04-07,PROV03,75,946.06
SUC01,P106,2025-04-17,PROV06,58,944.49
SUC01,P106,2025-05-18,PROV15,76,929.01
SUC01,P106,2025-06-11,PROV12,66,942.78
SUC01,P106,2025-06-14,PROV01,54,965.75
SUC01,P106,2025-06-28,PROV02,73,969.01
SUC01,P106,2025-06-28,PROV04,49,255.57
SUC01,P106,2025-07-12,PROV02,53,956.46
SUC01,P106,2025-07-18,PROV07,21,262.26
SUC01,P106,2025-07-21,PROV07,133,960.84
SUC01,P106,2025-07-22,PROV02,76,971.17
SUC01,P106,2025-08-04,PROV07,129,978.28
SUC01,P106,2025-08-12,PROV08,130,965.6
SUC01,P106,2025-09-22,PROV01,113,970.41
SUC01,P106,2025-10-13,PROV04,69,1048.74
SUC01,P106,2025-11-06,PROV08,77,999.75
SUC01,P106,2025-11-27,PROV11,90,1011.79
SUC01,P106,2025-12-12,PROV02,75,991.31
SUC01,P106,2025-12-13,PROV14,94,1034.94
SUC01,P106,2025-12-21,PROV02,79,989.44
SUC01,P106,2025-12-24,PROV07,134,1008.41
SUC01,P107,2025-01-20,PROV15,33,273.7
SUC01,P107,2025-02-10,PROV11,82,1029.57
SUC01,P107,2025-02-20,PROV15,115,1012.58
SUC01,P107,2025-03-08,PROV04,140,1033.95
SUC01,P107,2025-03-13,PROV13,68,1041.41
SUC01,P107,2025-03-13,PROV13,25,276.71
SUC01,P107,2025-03-21,PROV04,125,1049.85
SUC01,P107,2025-03-24,PROV08,63,1054.03
SUC01,P107,2025-03-28,PROV06,128,1021.11
SUC01,P107,2025-04-11,PROV08,95,1073.56
SUC01,P107,2025-05-02,PROV11,38,1027.11
SUC01,P107,2025-05-19,PROV07,132,1074.13
SUC01,P107,2025-05-29,PROV03,101,1047.09
SUC01,P107,2025-06-08,PROV15,139,1005.93
SUC01,P107,2025-06-16,PROV01,37,1024.71
SUC01,P107,2025-06-20,PROV10,123,1043.42
SUC01,P107,2025-06-27,PROV01,33,267.52
SUC01,P107,2025-06-27,PROV04,35,1067.04
SUC01,P107,2025-07-15,PROV10,108,1040.07
SUC01,P107,2025-07-24,PROV01,115,1048.27
SUC01,P107,2025-07-24,PROV02,58,276.53
SUC01,P107,2025-08-10,PROV07,132,1079.99
SUC01,P107,2025-08-18,PROV01,50,1035.71
SUC01,P107,2025-08-19,PROV13,42,1094.94
SUC01,P107,2025-08-25,PROV07,49,1047.37
SUC01,P107,2025-08-27,PROV12,117,1101.65
SUC01,P107,2025-09-01,PROV11,90,1063.36
SUC01,P107,2025-09-25,PROV13,15,277.72
SUC01,P107,2025-10-12,PROV09,30,1130.25
SUC01,P107,2025-10-26,PROV07,106,1061.81
SUC01,P107,2025-10-29,PROV10,30,1073.55
SUC01,P107,2025-11-09,PROV05,114,1048.93
SUC01,P107,2025-11-10,PROV14,53,1118.0
SUC01,P107,2025-11-20,PROV06,25,270.04
SUC01,P107,2025-12-23,PROV07,100,1103.59
SUC01,P107,2025-12-24,PROV07,134,1139.03
SUC01,P107,2025-12-28,PROV01,15,271.96
SUC01,P108,2025-02-09,PROV13,25,1169.35
SUC01,P108,2025-03-02,PROV02,28,1188.24
SUC01,P108,2025-03-14,PROV04,42,271.18
SUC01,P108,2025-03-20,PROV14,34,274.58
SUC01,P108,2025-04-09,PROV04,28,1242.43
SUC01,P108,2025-06-02,PROV05,23,1204.65
SUC01,P108,2025-06-04,PROV08,10,1203.15
SUC01,P108,2025-06-25,PROV12,49,270.41
SUC01,P108,2025-07-08,PROV08,12,273.5
SUC01,P108,2025-08-14,PROV09,16,1301.45
SUC01,P108,2025-09-29,PROV03,22,1255.62
SUC01,P108,2025-10-10,PROV11,66,1208.36
SUC01,P108,2025-10-28,PROV12,64,1224.19
SUC01,P108,2025-11-13,PROV04,20,1256.05
SUC01,P108,2025-11-14,PROV07,58,1293.82
SUC01,P108,2025-11-18,PROV15,55,1211.87
SUC01,P108,2025-12-25,PROV01,42,1263.56
SUC01,P108,2025-12-31,PROV15,11,1221.55
SUC01,P109,2025-01-24,PROV13,13,247.09
SUC01,P109,2025-02-17,PROV02,5,1232.92
SUC01,P109,2025-02-19,PROV13,38,1250.9
SUC01,P109,2025-03-05,PROV04,31,1304.47
SUC01,P109,2025-03-14,PROV05,30,1168.75
SUC01,P109,2025-03-21,PROV10,31,1191.53
SUC01,P109,2025-03-30,PROV06,22,250.6
SUC01,P109,2025-06-27,PROV06,68,1240.11
SUC01,P109,2025-07-08,PROV12,38,254.77
SUC01,P109,2025-07-18,PROV03,18,1271.83
SUC01,P109,2025-07-22,PROV09,57,1305.77
SUC01,P109,2025-08-08,PROV06,34,1238.02
SUC01,P109,2025-08-20,PROV13,16,1326.91
SUC01,P109,2025-08-28,PROV14,28,1291.05
SUC01,P109,2025-09-01,PROV04,56,1339.68
SUC01,P109,2025-09-11,PROV08,31,1302.45
SUC01,P109,2025-09-13,PROV10,37,255.14
SUC01,P109,2025-09-16,PROV02,37,1296.53
SUC01,P109,2025-09-18,PROV08,49,248.83
SUC01,P109,2025-10-21,PROV06,68,1312.9
SUC01,P109,2025-11-04,PROV08,12,246.11
SUC01,P109,2025-11-10,PROV06,58,1255.06
SUC01,P109,2025-11-13,PROV11,35,249.74
SUC01,P109,2025-11-29,PROV11,30,1270.84
SUC01,P109,2025-11-30,PROV01,58,1326.26
SUC01,P109,2025-12-12,PROV09,23,1382.45
SUC01,P109,2025-12-26,PROV05,25,1289.39
SUC01,P110,2025-01-03,PROV06,60,259.18
SUC01,P110,2025-01-12,PROV05,15,1315.07
SUC01,P110,2025-01-18,PROV11,56,1312.84
SUC01,P110,2025-01-21,PROV01,23,1283.85
SUC01,P110,2025-01-21,PROV15,69,1300.95
SUC01,P110,2025-02-03,PROV02,43,1345.65
SUC01,P110,2025-02-07,PROV03,23,260.3
SUC01,P110,2025-02-08,PROV04,61,1405.19
SUC01,P110,2025-03-06,PROV03,54,1355.57
SUC01,P110,2025-03-09,PROV04,22,1354.14
SUC01,P110,2025-03-27,PROV07,25,1389.48
SUC01,P110,2025-04-04,PROV08,18,1399.37
SUC01,P110,2025-04-10,PROV11,70,1328.13
SUC01,P110,2025-06-22,PROV08,55,1370.13
SUC01,P110,2025-07-20,PROV13,53,1431.72
SUC01,P110,2025-07-25,PROV09,41,1401.68
SUC01,P110,2025-08-08,PROV04,12,1452.98
SUC01,P110,2025-08-23,PROV09,61,1449.82
SUC01,P110,2025-09-03,PROV09,53,1462.57
SUC01,P110,2025-09-22,PROV10,21,1404.65
SUC01,P110,2025-10-16,PROV07,24,1472.04
SUC01,P110,2025-11-01,PROV04,10,257.54
SUC01,P110,2025-11-05,PROV05,36,256.96
SUC01,P110,2025-11-15,PROV15,64,1388.56
SUC01,P110,2025-11-23,PROV15,20,1384.43
SUC01,P110,2025-11-29,PROV05,11,1433.48
SUC01,P110,2025-12-01,PROV15,17,1388.12
SUC01,P110,2025-12-22,PROV11,29,1456.98
SUC01,P110,2025-12-30,PROV01,50,264.46
SUC01,P111,2025-02-02,PROV12,53,1456.85
SUC01,P111,2025-02-21,PROV03,47,253.0
SUC01,P111,2025-02-24,PROV10,38,1435.22
SUC01,P111,2025-03-12,PROV15,49,1418.13
SUC01,P111,2025-03-15,PROV11,37,1459.62
SUC01,P111,2025-04-05,PROV06,102,252.14
SUC01,P111,2025-04-11,PROV14,63,1559.48
